     , kalshi_id                           , practice_participation, injury_start_date, birth_date, gsis_id   , yahoo_id, fantasy_data_id, search_full_name           , espn_id  , height  , depth_chart_order, rotowire_id, swish_id , pandascore_id, active, high_school                                      , weight, birth_city, stats_id , sportradar_id                       , injury_body_part   , search_last_name  , opta_id, birth_country, full_name                    , status                      , team_abbr, sport, search_rank, age , team_changed_at, player_id, injury_notes, years_exp, oddsjam_id      , search_first_name, injury_status, fantasy_positions    , college                       , first_name    , metadata                                                                                                                                                    , number, practice_description          , rotoworld_id, hashtag                              , last_name          , depth_chart_position, competitions, position, birth_state, team, news_updated
7833 , aeb49fb6-6b34-4226-afcd-71429ee03d34,                       ,                  , 1997-10-10,           ,         ,                , isaiahhloudermilk          ,          , 79      ,               2.0,     15347.0,  924375.0,              , True  , Elk Valley (KS)                                  ,    293,           ,          , ff28a5cc-3780-4f94-8c40-d713ff75cd0d, Ankle              , loudermilk        ,        ,              , Isaiahh Loudermilk           , Inactive                    ,          , nfl  ,       690.0, 27.0,                , 7833     , Sprain      ,       4.0, CDC26AFA1DD8    , isaiahh          , IR           , ['DL']               , Wisconsin                     , Isaiahh       , "{'channel_id': '1113708822804852736', 'rookie_year': '2021'}"                                                                                              ,   92.0,                               ,             , #isaiahhloudermilk-NFL-PIT-92        , Loudermilk         , LDE                 , []          , DE      ,            , PIT , 1758127224963.0
5364 ,                                     ,                       ,                  , 1995-11-06, 00-0034338,  31217.0,         20076.0, joshuafrazier              , 3126350.0, 76      ,                  ,     12908.0,          ,              , True  , Har-Ber                                          ,    315,           ,          , 1d5c2aa1-3c96-4cea-9589-723d3cc9cd57,                    , frazier           ,        ,              , Joshua Frazier               , Active                      ,          , nfl  ,   9999999.0, 26.0,                , 5364     ,             ,       4.0,                 , joshua           ,              , ['DL']               , Alabama                       , Joshua        , {'channel_id': '1116853091157671936'}                                                                                                                       ,   69.0,                               ,             , #joshuafrazier-NFL-FA-69             , Frazier            ,                     , []          , NT      ,            ,     ,              
872  ,                                     ,                       ,                  , 1988-03-11,           ,         ,         13023.0, mikemohamed                ,   14097.0, "6'3""" ,                  ,            ,          ,              , False , Brawley (CA)                                     ,    238,           ,          , 39c8aa65-ce4d-4235-884c-12cff3706521,                    , mohamed           ,        ,              , Mike Mohamed                 , Inactive                    ,          , nfl  ,   9999999.0, 32.0,                , 872      ,             ,       9.0,                 , mike             ,              , ['LB']               , California                    , Mike          ,                                                                                                                                                             ,   98.0,                               ,             , #mikemohamed-NFL-FA-98               , Mohamed            ,                     , []          , LB      ,            ,     ,              
2584 ,                                     ,                       ,                  , 1991-07-17,           ,  28710.0,         17049.0, austinhill                 , 2516901.0, "6'2""" ,                  ,     10235.0,          ,              , False ,                                                  ,    210,           ,  542547.0, 47cc8e2e-6dc1-458f-9bbc-5783434516d8,                    , hill              ,        ,              , Austin Hill                  , Inactive                    ,          , nfl  ,   9999999.0, 27.0,                , 2584     ,             ,       1.0,                 , austin           ,              , ['WR']               , Arizona                       , Austin        ,                                                                                                                                                             ,    9.0,                               ,             , #austinhill-NFL-FA-9                 , Hill               ,                     , []          , WR      ,            ,     ,              
551  ,                                     ,                       ,                  , 1987-06-09,           ,  24464.0,         11138.0, jefflinkenbach             ,   13751.0, "6'6""" ,                  ,      7108.0,          ,              , False , Margaretta (OH)                                  ,    325,           ,          , 901a3f95-ae8a-4f1f-8321-11ec42b8b198,                    , linkenbach        ,        ,              , Jeff Linkenbach              , Injured Reserve             ,          , nfl  ,   9999999.0, 33.0,                , 551      ,             ,      10.0,                 , jeff             ,              , ['OL']               , Cincinnati                    , Jeff          ,                                                                                                                                                             ,   62.0,                               ,             , #jefflinkenbach-NFL-FA-62            , Linkenbach         ,                     , []          , T       ,            ,     ,              
7708 , 472c11ff-d923-485e-a739-6780fd5c3ebf,                       ,                  , 1999-03-03,           ,         ,                , marcowilson                ,          , 71      ,               2.0,     15313.0,  975043.0,              , True  , American Heritage (FL)                           ,    191,           ,          , 409f6cf2-cfd2-4712-80a2-9a62e0ad75c4,                    , wilson            ,        ,              , Marco Wilson                 , Active                      ,          , nfl  ,   9999999.0, 26.0,                , 7708     ,             ,       4.0, 6FE74907CE20    , marco            ,              , ['DB']               , Florida                       , Marco         , "{'channel_id': '1113708790865227776', 'rookie_year': '2021'}"                                                                                              ,   24.0,                               ,             , #marcowilson-NFL-CIN-24              , Wilson             , NB                  , []          , CB      ,            , CIN , 1755650444390.0
6688 ,                                     ,                       ,                  , 1995-09-30,           ,         ,         21589.0, johnnygibson               ,          , 76      ,                  ,            ,          ,              , True  , Dumas                                            ,    319,           ,          , 8377d386-0ee9-4a0b-b66c-90e55473edd7,                    , gibson            ,        ,              , Johnny Gibson                , Active                      ,          , nfl  ,   9999999.0, 26.0,                , 6688     ,             ,       3.0,                 , johnny           ,              , ['OL']               , Arkansas                      , Johnny        , {'channel_id': '1116853293390233600'}                                                                                                                       ,    0.0,                               ,             , #johnnygibson-NFL-FA-0               , Gibson             ,                     , []          , G       ,            ,     ,              
1295 ,                                     ,                       ,                  , 1989-10-01,           ,  26257.0,         14763.0, matthewmasifilo            ,   15132.0, "6'3""" ,                  ,      8583.0,          ,              , False , Campbell (HI)                                    ,    280,           ,          , 1167e35d-97c5-4198-8825-97532d9e9242,                    , masifilo          ,        ,              , Matthew Masifilo             , Inactive                    ,          , nfl  ,   9999999.0, 30.0,                , 1295     ,             ,       8.0,                 , matthew          ,              , ['OL']               , Stanford                      , Matthew       ,                                                                                                                                                             ,   64.0,                               ,             , #matthewmasifilo-NFL-FA-64           , Masifilo           ,                     , []          , G       ,            ,     ,              
3173 ,                                     ,                       ,                  ,           ,           ,         ,         17934.0, rogergoodell               ,          ,         ,                  ,            ,          ,              , False ,                                                  ,       ,           ,          ,                                     ,                    , goodell           ,        ,              , Roger Goodell                , Inactive                    ,          , nfl  ,   9999999.0,     ,                , 3173     ,             ,       0.0,                 , roger            ,              ,                      ,                               , Roger         ,                                                                                                                                                             ,    0.0,                               ,       8369.0, #rogergoodell-NFL-FA-0               , Goodell            ,                     , []          ,         ,            ,     ,              
6659 , fea5edaf-4f42-44eb-9468-7751a45df59e,                       ,                  , 1996-06-15, 00-0035567,  32596.0,         21564.0, craigreynolds              , 4421446.0, 71      ,               3.0,     13960.0, 1167356.0,              , True  , Abington (PA)                                    ,    216,           , 1167356.0, 0deb1dc9-0945-470d-8352-220d26d03d7d,                    , reynolds          ,        ,              , Craig Reynolds               , Active                      ,          , nfl  ,       654.0, 29.0,                , 6659     ,             ,       6.0, DD572D925FFB    , craig            ,              , ['RB']               , Kutztown                      , Craig         , "{'channel_id': '1113708809601183744', 'rookie_year': '2019'}"                                                                                              ,   13.0,                               ,             , #craigreynolds-NFL-DET-13            , Reynolds           , RB                  , []          , RB      ,            , DET , 1758582050319.0
5573 ,                                     ,                       ,                  , 1995-06-06, 00-0034305,  31502.0,         20580.0, greermartini               , 3129304.0, 75      ,                  ,     13405.0,          ,              , True  , Woodberry Forest School                          ,    236,           ,          , 7a0fe22d-0eb1-4339-91d6-0d21b4804eb9,                    , martini           ,        ,              , Greer Martini                , Active                      ,          , nfl  ,   9999999.0, 26.0,                , 5573     ,             ,       4.0,                 , greer            ,              , ['LB']               , Notre Dame                    , Greer         , {'channel_id': '1116853125332860928'}                                                                                                                       ,   45.0,                               ,             , #greermartini-NFL-FA-45              , Martini            ,                     , []          , OLB     ,            ,     , 1554928537994.0
12108, 209f3661-37b2-444e-9049-949c652fae78,                       ,                  , 2001-07-11,           ,         ,                , quintonnewsome             ,          , 73      ,                  ,     18366.0, 1164865.0,              , True  , North Gwinnett (GA)                              ,    185,           ,          , 7431c500-0733-11ef-b167-5dcd24adaaf9,                    , newsome           ,        ,              , Quinton Newsome              , Active                      ,          , nfl  ,   9999999.0, 24.0,                , 12108    ,             ,       1.0, 6CD4DDF8BC4D    , quinton          ,              , ['DB']               , Nebraska                      , Quinton       , "{'channel_id': '1113708825535344640', 'rookie_year': '2024'}"                                                                                              ,   36.0,                               ,             , #quintonnewsome-NFL-FA-36            , Newsome            ,                     , []          , DB      ,            ,     ,              
887  ,                                     ,                       ,                  , 1988-12-09,           ,  24935.0,         13069.0, denariusmoore              ,   14153.0, "6'0""" ,                  ,      7398.0,          ,              , False , Tatum (TX)                                       ,    190,           ,  397990.0, 9c9c6cfc-20b1-4ee4-87e5-1e5acf47fb36,                    , moore             ,        ,              , Denarius Moore               , Inactive                    ,          , nfl  ,   9999999.0, 31.0,                , 887      ,             ,       9.0,                 , denarius         ,              , ['WR']               , Tennessee                     , Denarius      ,                                                                                                                                                             ,   17.0,                               ,             , #denariusmoore-NFL-FA-17             , Moore              ,                     , []          , WR      ,            ,     ,              
8090 ,                                     ,                       ,                  , 1997-12-15,           ,         ,                , danielcrawford             ,          , 74      ,                  ,     15789.0,          ,              , True  , Dakota (MI)                                      ,    251,           ,          , ea2984d6-a8ed-41dc-93b1-137a09b90259,                    , crawford          ,        ,              , Daniel Crawford              , Active                      ,          , nfl  ,            , 24.0,                , 8090     ,             ,       1.0,                 , daniel           ,              , ['TE']               , Northern Illinois             , Daniel        , {'channel_id': '1116853465197314048'}                                                                                                                       ,   80.0,                               ,             , #danielcrawford-NFL-FA-80            , Crawford           ,                     , []          , TE      ,            ,     , 1629750054036.0
7240 ,                                     ,                       ,                  , 1997-10-27,           ,  33205.0,         22241.0, kendallfutrell             ,          , 74      ,                  ,     14899.0,          ,              , True  , South Central (NC)                               ,    226,           ,          , eec103be-3166-486c-a89a-bddf0c4b1397,                    , futrell           ,        ,              , Kendall Futrell              , Active                      ,          , nfl  ,   9999999.0, 24.0,                , 7240     ,             ,       2.0,                 , kendall          ,              , "['DL', 'LB']"       , East Carolina                 , Kendall       , {'channel_id': '1116853354132144128'}                                                                                                                       ,   79.0,                               ,             , #kendallfutrell-NFL-FA-79            , Futrell            ,                     , []          , DE      ,            ,     , 1596769250019.0
10963, b4ad33f1-6913-4173-90b4-05de9bd65b4e,                       ,                  , 2000-08-23,           ,         ,                , jakorianbennett            ,          , 70      ,               2.0,     17096.0, 1213962.0,              , True  , McGill-Toolen (AL)                               ,    200,           ,          , 8197c5b4-ade0-47e4-81b3-f16aa47eab12, Undisclosed        , bennett           ,        ,              , Jakorian Bennett             , Inactive                    ,          , nfl  ,       663.0, 25.0,                , 10963    ,             ,       2.0, 3D6ADA3A033C    , jakorian         , IR           , ['DB']               , Maryland                      , Jakorian      , "{'channel_id': '1113708770552213504', 'rookie_year': '2023'}"                                                                                              ,   23.0,                               ,             , #jakorianbennett-NFL-PHI-23          , Bennett            , LCB                 , []          , DB      ,            , PHI , 1758760513518.0
5344 , ad8e4f41-df53-4db8-8366-526dffc5e188,                       ,                  , 1995-09-22, 00-0034792,  31179.0,         20032.0, cornellarmstrong           , 3123963.0, 72      ,               4.0,     12999.0,  835063.0,              , True  , Bassfield (MS)                                   ,    185,           ,  835063.0, 0a08ca62-e488-4369-8e26-8b158443865f,                    , armstrong         ,        ,              , Cornell Armstrong            , Active                      ,          , nfl  ,   9999999.0, 30.0,                , 5344     ,             ,       7.0, 96C3A9194BC9    , cornell          ,              , ['DB']               , Southern Miss                 , Cornell       , "{'channel_id': '1113708767658143744', 'rookie_year': '2018'}"                                                                                              ,   38.0,                               ,             , #cornellarmstrong-NFL-MIA-38         , Armstrong          , LCB                 , []          , DB      ,            , MIA , 1753378839832.0
11594,                                     ,                       ,                  ,           ,           ,         ,                , playerinvalid              ,          ,         ,                  ,            ,          ,              , False ,                                                  ,       ,           ,          ,                                     ,                    , invalid           ,        ,              , Player Invalid               , Inactive                    ,          , nfl  ,            ,     ,                , 11594    ,             ,       0.0,                 , player           ,              , ['TE']               ,                               , Player        ,                                                                                                                                                             ,       ,                               ,             , #playerinvalid-NFL-FA                , Invalid            ,                     , []          , TE      ,            ,     ,              
7168 ,                                     ,                       ,                  , 1998-04-06,           ,         ,         22170.0, zanelewis                  , 4239965.0, 73      ,                  ,     15112.0, 1049651.0,              , True  , Trinity Episcopal (VA)                           ,    190,           ,          , 9c95fee4-129e-4765-b99f-f09f517c1f4f,                    , lewis             ,        ,              , Zane Lewis                   , Active                      ,          , nfl  ,   9999999.0, 24.0,                , 7168     ,             ,       2.0,                 , zane             ,              , ['DB']               , Air Force                     , Zane          , {'channel_id': '1116853342270652416'}                                                                                                                       ,   33.0,                               ,             , #zanelewis-NFL-FA-33                 , Lewis              ,                     , []          , CB      ,            ,     , 1692056717226.0
3074 ,                                     ,                       ,                  , 1993-07-10, 00-0032324,  29212.0,         17821.0, corneliusedison            , 2565684.0, 75      ,                  ,     10774.0,          ,              , False , Curtis (WA)                                      ,    312,           ,          , 49606a1d-e06e-4cde-8528-f1adca8bd5fa,                    , edison            ,        ,              , Cornelius Edison             , Inactive                    ,          , nfl  ,   9999999.0, 28.0,                , 3074     ,             ,       6.0,                 , cornelius        ,              , ['OL']               , Portland State                , Cornelius     ,                                                                                                                                                             ,    0.0,                               ,             , #corneliusedison-NFL-FA-0            , Edison             ,                     , []          , C       ,            ,     , 1514655901260.0
5731 ,                                     ,                       ,                  , 1994-11-25, 00-0034691,  31691.0,         20615.0, rubenholcomb               , 3069758.0, 76      ,                  ,     13204.0,          ,              , True  , Snider                                           ,    309,           ,          , cb006e99-2754-4bd5-a521-6d0cf473b233,                    , holcomb           ,        ,              , Ruben Holcomb                , Active                      ,          , nfl  ,   9999999.0, 27.0,                , 5731     ,             ,       4.0,                 , ruben            ,              , ['OL']               , Indianapolis                  , Ruben         , {'channel_id': '1116853152969129984'}                                                                                                                       ,   70.0,                               ,             , #rubenholcomb-NFL-FA-70              , Holcomb            ,                     , []          , G       ,            ,     , 1566691258941.0
703  ,                                     ,                       ,                  , 1985-09-23,           ,   9343.0,         12158.0, kraigurbik                 ,   12742.0, "6'5""" ,                  ,      6053.0,          ,              , False , Hudson (WI)                                      ,    324,           ,          , a4600df5-9f1f-40ba-b4a2-07cdffaf3969,                    , urbik             ,        ,              , Kraig Urbik                  , Inactive                    ,          , nfl  ,   9999999.0, 34.0,                , 703      ,             ,      11.0,                 , kraig            ,              , ['OL']               , Wisconsin                     , Kraig         ,                                                                                                                                                             ,   60.0,                               ,             , #kraigurbik-NFL-FA-60                , Urbik              ,                     , []          , C       ,            ,     , 1520544301234.0
4770 ,                                     ,                       ,                  , 1989-07-27,           ,         ,         19687.0, duplicateplayer            ,          , "5'11""",                  ,            ,          ,              , False ,                                                  ,    180,           ,          ,                                     ,                    , player            ,        ,              , Duplicate Player             , Inactive                    ,          , nfl  ,   9999999.0, 30.0,                , 4770     ,             ,       7.0,                 , duplicate        , Out          , ['WR']               , North Carolina State          , Duplicate     ,                                                                                                                                                             ,   87.0,                               ,             , #duplicateplayer-NFL-FA-87           , Player             ,                     , []          , WR      ,            ,     ,              
257  ,                                     ,                       ,                  , 1985-07-27,           ,   9063.0,          6411.0, husainabdullah             ,   11910.0, "6'0""" ,                  ,      6297.0,          ,              , False , Pomona (CA)                                      ,    204,           ,          , 1c4cf2d1-5bcf-457a-9f5b-34e4949edfcd,                    , abdullah          ,        ,              , Husain Abdullah              , Inactive                    ,          , nfl  ,   9999999.0, 35.0,                , 257      ,             ,      12.0,                 , husain           ,              , ['DB']               , Washington State              , Husain        ,                                                                                                                                                             ,   39.0,                               ,       5026.0, #husainabdullah-NFL-FA-39            , Abdullah           ,                     , []          , FS      ,            ,     ,              
324  ,                                     ,                       ,                  , 1983-11-17,           ,   7815.0,          7998.0, ericwinston                ,    9652.0, "6'7""" ,                  ,      5000.0,          ,              , False , Lee (TX)                                         ,    302,           ,          , 979f7f83-00e8-4ec8-9420-9e5a53f0b406,                    , winston           ,        ,              , Eric Winston                 , Inactive                    ,          , nfl  ,   9999999.0, 36.0,                , 324      ,             ,      14.0,                 , eric             ,              , ['OL']               , Miami                         , Eric          ,                                                                                                                                                             ,   73.0,                               ,             , #ericwinston-NFL-FA-73               , Winston            ,                     , []          , G       ,            ,     , 1510153201242.0
9228 , e334b191-c3b4-469b-a5f0-6aebe2d468dc,                       ,                  , 2001-07-25,           ,         ,                , bryceyoung                 ,          , 70      ,               1.0,     16807.0, 1213257.0,              , True  , Mater Dei (CA)                                   ,    204,           ,          , 38475bfa-9773-4c3b-9157-a0dbd576fa22,                    , young             ,        ,              , Bryce Young                  , Active                      ,          , nfl  ,       190.0, 24.0,                , 9228     ,             ,       2.0, D66ABAC4E9EF    , bryce            ,              , ['QB']               , Alabama                       , Bryce         , "{'channel_id': '1113708882087145473', 'rookie_year': '2023'}"                                                                                              ,    9.0,                               ,             , #bryceyoung-NFL-CAR-9                , Young              , QB                  , []          , QB      ,            , CAR , 1759124752109.0
12598, 91ba6ac7-bca6-4814-a2f0-9bde3cc1baea,                       ,                  , 2004-01-13,           ,         ,                , jonahsavaiinaea            ,          , 77      ,                  ,     18749.0,          ,              , True  , Saint Louis (HI)                                 ,    326,           ,          , adf5a2b1-7aa8-4fae-b250-95f299bca688,                    , savaiinaea        ,        ,              , Jonah Savaiinaea             , Active                      ,          , nfl  ,   9999999.0, 21.0,                , 12598    ,             ,       0.0, C3D42C80FDB2E41F, jonah            ,              , ['OL']               , Arizona                       , Jonah         , "{'channel_id': '1221670001631580160', 'rookie_year': '2025', 'source_id': '3a93d5d0-91e8-11ec-9587-0f8fa2cff168'}"                                         ,   72.0,                               ,             , #jonahsavaiinaea-NFL-MIA-72          , Savaiinaea         , OL                  , []          , OL      ,            , MIA , 1745624120968.0
4225 ,                                     ,                       ,                  , 1994-12-16, 00-0033580,  30308.0,         19071.0, tannervallejo              , 3042895.0, 73      ,                  ,     11982.0,  728845.0,              , True  , Nevada Union (CA)                                ,    228,           ,  728845.0, 23f29e42-92e5-41b2-88eb-b9fb17a0eede,                    , vallejo           ,        ,              , Tanner Vallejo               , Active                      ,          , nfl  ,   9999999.0, 28.0,                , 4225     ,             ,       6.0,                 , tanner           ,              , ['LB']               , Boise State                   , Tanner        , {'channel_id': '1116852938409508864'}                                                                                                                       ,   49.0,                               ,             , #tannervallejo-NFL-FA-49             , Vallejo            ,                     , []          , LB      ,            ,     , 1693177841819.0
12487, 1a0afee2-86ef-4d7b-9f13-75efbb5b7100,                       ,                  , 2003-03-07,           ,         ,                , terranceferguson           ,          , 77      ,               2.0,     18497.0,          ,              , True  , Heritage (CO)                                    ,    252,           ,          , fdfc7b8e-a202-4459-91f8-be6e053e5d29, Coach's Decision   , ferguson          ,        ,              , Terrance Ferguson            , Active                      ,          , nfl  ,       194.0, 22.0,                , 12487    ,             ,       0.0, ED3F438D7ED21C58, terrance         , Out          , ['TE']               , Oregon                        , Terrance      , "{'channel_id': '1221669998037061632', 'rookie_year': '2025', 'source_id': 'c0821d6e-e31d-4ccc-b006-9837720c7d6f'}"                                         ,   18.0,                               ,             , #terranceferguson-NFL-LAR-18         , Ferguson           , TE                  , []          , TE      ,            , LAR , 1759086648013.0
5727 ,                                     ,                       ,                  , 1995-06-12, 00-0034723,  31726.0,         20637.0, nickthurman                , 3040031.0, 76      ,                  ,     13320.0,  741524.0,              , True  , Lake Highlands (TX)                              ,    305,           ,          , ded1a577-51cc-4f13-8b79-4f4c09655f44,                    , thurman           ,        ,              , Nick Thurman                 , Active                      ,          , nfl  ,   9999999.0, 29.0,                , 5727     ,             ,       6.0, CB57011EE88A    , nick             ,              , ['DL']               , Houston                       , Nick          , "{'channel_id': '1113708886713462784', 'rookie_year': '2018'}"                                                                                              ,   91.0,                               ,             , #nickthurman-NFL-FA-91               , Thurman            ,                     , []          , DE      ,            ,     , 1730918731391.0
3307 ,                                     ,                       ,                  , 1993-04-09, 00-0032418,  29385.0,         18068.0, joedahl                    , 2978331.0, 76      ,                  ,     10987.0,          ,              , True  , University (WA)                                  ,    310,           ,          , 952d6412-2351-48aa-8053-35a456d4e869,                    , dahl              ,        ,              , Joe Dahl                     , Active                      ,          , nfl  ,   9999999.0, 28.0,                , 3307     ,             ,       6.0,                 , joe              ,              , ['OL']               , Washington State              , Joe           , {'channel_id': '1116852847305031680'}                                                                                                                       ,   66.0,                               ,             , #joedahl-NFL-FA-66                   , Dahl               ,                     , []          , G       ,            ,     , 1615839027192.0
8404 ,                                     ,                       ,                  , 1999-05-12,           ,         ,                , alifayad                   ,          , 74      ,                  ,     16452.0, 1062840.0,              , True  , Dearborn (MI)                                    ,    250,           ,          , 415cfc80-ce19-11ec-bebb-4fec1e38b0e5,                    , fayad             ,        ,              , Ali Fayad                    , Active                      ,          , nfl  ,   9999999.0, 23.0,                , 8404     ,             ,       1.0,                 , ali              ,              , ['DL']               , Western Michigan              , Ali           , "{'channel_id': '1116853485988478976', 'source_id': '3cc0295f-fd09-44e7-868a-6ccfcc362aed', 'years_exp_shift': '1'}"                                        ,    0.0,                               ,             , #alifayad-NFL-FA-0                   , Fayad              ,                     , []          , DL      ,            ,     ,              
11198,                                     ,                       ,                  , 2000-06-12,           ,         ,                , quavianwhite               ,          , 68      ,                  ,     17243.0, 1120493.0,              , True  , Greer (SC)                                       ,    187,           ,          , 446f9ab0-e900-11ed-b1ce-210b36f0e297,                    , white             ,        ,              , Quavian White                , Active                      ,          , nfl  ,   9999999.0, 23.0,                , 11198    ,             ,       1.0, 5C5FC2C27B7C    , quavian          ,              , ['DB']               , Georgia State                 , Quavian       , "{'channel_id': '1116852662634020864', 'rookie_year': '2023'}"                                                                                              ,   38.0,                               ,             , #quavianwhite-NFL-FA-38              , White              ,                     , []          , CB      ,            ,     ,              
8694 ,                                     ,                       ,                  ,           ,           ,         ,                , henrylitwin                ,          , 71      ,                  ,     16421.0, 1385381.0,              , True  , Conneaut Area (PA)                               ,    189,           ,          , 1ce2d250-ce08-11ec-9598-03840dd5f387,                    , litwin            ,        ,              , Henry Litwin                 , Active                      ,          , nfl  ,   9999999.0,     ,                , 8694     ,             ,       1.0,                 , henry            ,              , ['WR']               , Slippery Rock                 , Henry         , "{'channel_id': '1116853515944198144', 'years_exp_shift': '1'}"                                                                                             ,    0.0,                               ,             , #henrylitwin-NFL-FA-0                , Litwin             ,                     , []          , WR      ,            ,     , 1654805643668.0
3272 , c3c5bdd4-1996-486b-9ae9-0605660e8e8c,                       ,                  , 1993-05-10, 00-0032399,  29345.0,         18033.0, mileskillebrew             , 2575164.0, 74      ,               2.0,     11091.0,  613316.0,              , True  , Foothill (NV)                                    ,    222,           ,          , 4419b655-867f-436b-8233-6d45f4dfef77,                    , killebrew         ,        ,              , Miles Killebrew              , Active                      ,          , nfl  ,       688.0, 32.0,                , 3272     ,             ,       9.0, 8CFAC27E6425    , miles            ,              , "['DB', 'LB']"       , Southern Utah                 , Miles         , "{'channel_id': '1113708817738133504', 'rookie_year': '2016'}"                                                                                              ,   28.0,                               ,             , #mileskillebrew-NFL-PIT-28           , Killebrew          , FS                  , []          , DB      ,            , PIT , 1710370558717.0
6085 ,                                     ,                       ,                  , 1997-03-20, 00-0035497,  32520.0,         20739.0, jeffallison                , 4040893.0, 72      ,                  ,     13838.0,          ,              , True  , Langston Hughes                                  ,    234,           ,          , c5dfe8ed-dba1-46f5-821d-cb88ee7ab664,                    , allison           ,        ,              , Jeff Allison                 , Active                      ,          , nfl  ,   9999999.0, 24.0,                , 6085     ,             ,       3.0,                 , jeff             ,              , ['LB']               , Fresno State                  , Jeff          , {'channel_id': '1116853200813555712'}                                                                                                                       ,    0.0,                               ,             , #jeffallison-NFL-FA-0                , Allison            ,                     , []          , ILB     ,            ,     , 1564586415433.0
7544 ,                                     ,                       ,                  ,           ,           ,         ,                , playerinvalid              ,          ,         ,                  ,            ,          ,              , False ,                                                  ,       ,           ,          ,                                     ,                    , invalid           ,        ,              , Player Invalid               , Inactive                    ,          , nfl  ,            ,     ,                , 7544     ,             ,       0.0,                 , player           ,              , ['RB']               ,                               , Player        ,                                                                                                                                                             ,       ,                               ,             , #playerinvalid-NFL-FA                , Invalid            ,                     , []          , RB      ,            ,     ,              
11671, 9d99ff77-28c2-4674-923c-6948e07d6b38,                       ,                  , 2002-12-09,           ,         ,                , olufashanu                 ,          , 78      ,                  ,     17706.0, 1229087.0,              , True  , Gonzaga College (DC)                             ,    312,           ,          , e85b075a-5ca5-4ebe-b5d7-c14149b07ca5,                    , fashanu           ,        ,              , Olu Fashanu                  , Active                      ,          , nfl  ,   9999999.0, 22.0,                , 11671    ,             ,       1.0, 96A71FF19183    , olu              ,              , ['OL']               , Penn State                    , Olu           , "{'channel_id': '1113708746858590208', 'rookie_year': '2024'}"                                                                                              ,   74.0,                               ,             , #olufashanu-NFL-NYJ-74               , Fashanu            , OL                  , []          , OL      ,            , NYJ , 1749266146992.0
5730 ,                                     ,                       ,                  , 1994-09-05, 00-0034692,  31690.0,         20614.0, markmyers                  , 4339831.0, 70      ,                  ,     13205.0,          ,              , True  , Oak Ridge                                        ,    185,           ,          , d00ac1d2-dd0d-4362-bfb3-29c9f29d2671,                    , myers             ,        ,              , Mark Myers                   , Inactive                    ,          , nfl  ,   9999999.0, 27.0,                , 5730     ,             ,       4.0,                 , mark             ,              , ['DB']               , "Southeastern, Fla."          , Mark          , {'channel_id': '1116853152767803392'}                                                                                                                       ,   32.0,                               ,             , #markmyers-NFL-FA-32                 , Myers              ,                     , []          , CB      ,            ,     , 1571891728611.0
10221, 304c4120-1cca-4171-bedb-094b9b46eac6,                       ,                  , 2000-01-28,           ,         ,                , ronniebell                 ,          , 72      ,                  ,     16843.0, 1130213.0,              , True  , Park Hill (MO)                                   ,    195,           ,          , ba06804a-b84c-408a-8ef6-5226d8424479,                    , bell              ,        ,              , Ronnie Bell                  , Active                      ,          , nfl  ,       599.0, 25.0,                , 10221    ,             ,       2.0, 65B7D38E6C0D    , ronnie           ,              , ['WR']               , Michigan                      , Ronnie        , "{'channel_id': '1113708879033692161', 'rookie_year': '2023'}"                                                                                              ,   10.0,                               ,             , #ronniebell-NFL-DET-10               , Bell               ,                     , []          , WR      ,            , DET , 1756336223739.0
5087 , 79b90573-7c15-48db-a77e-489237527af0,                       ,                  , 1995-10-30, 00-0034162,  31142.0,         19977.0, jkscott                    , 3126368.0, 77      ,                  ,     12822.0,  835815.0,              , True  , Mullen (CO)                                      ,    208,           ,          , 5067e5ee-bae8-411e-bc05-011a88a3d954,                    , scott             ,        ,              , JK Scott                     , Active                      ,          , nfl  ,   9999999.0, 29.0,                , 5087     ,             ,       7.0, 9A41F867AD3F    , jk               ,              , ['P']                , Alabama                       , JK            , "{'channel_id': '1113708690524893184', 'rookie_year': '2018'}"                                                                                              ,   16.0,                               ,             , #jkscott-NFL-LAC-16                  , Scott              , P                   , []          , P       ,            , LAC , 1679088914663.0
1327 ,                                     ,                       ,                  , 1989-04-29, 00-0029010,  26070.0,         14826.0, ronaldleary                ,   15276.0, 75      ,                  ,      8248.0,          ,              , True  , Southern Lab (LA)                                ,    320,           ,          , 1d127c62-d7f3-4fe5-b30d-9b7a9cef6637,                    , leary             ,        ,              , Ronald Leary                 , Active                      ,          , nfl  ,   9999999.0, 32.0,                , 1327     ,             ,      10.0,                 , ronald           ,              , ['OL']               , Memphis                       , Ronald        , {'channel_id': '1116852731072479232'}                                                                                                                       ,   65.0,                               ,       7804.0, #ronaldleary-NFL-FA-65               , Leary              ,                     , []          , G       ,            ,     , 1597273804720.0
